"NUM_PLACA","TIPO","ENDERECO","SENTIDO","LONGITUDE","LATITUDE","LINK","GABARITO"
"557","PADRÃO","AV. WASHINGTON SOARES. ESQ. SHOP PÁTIO ÁGUA FRIA","SENTIDO EUSEBIO","-3.790563","-38.480458","https://www.google.com.br/OutdoorPadrao-557","https://drive.google.com/Gabarito-557"
"559","PADRÃO","AV.DR.SILAS MUNGUBA EM FRENTE SHOPPING PARANGABA  - .1","ENTRADA SH","-3.776974","-38.562184","https://www.google.com.br/OutdoorPadrao-559","https://drive.google.com/Gabarito-559"
"560","PADRÃO","ARACATI - RUA CEL POMPEU EM FRENTE MERCADO  - .1                   ","AC PRAIA   ","-4.564182","-37.770510","https://www.google.com.br/OutdoorPadrao-560","https://drive.google.com/Gabarito-560"
"561","PADRÃO","ARACATI - RUA CEL POMPEU EM FRENTE MERCADO  - .2                   ","AC PRAIA   ","-4.564182","-37.770510","https://www.google.com.br/OutdoorPadrao-561","https://drive.google.com/Gabarito-561"
"573","PADRÃO","AV. BERNARDO MANUEL EM FRENTE LOJA PAHILLY - .1","AC.JOSE WA","-3.803172","-38.552876","https://www.google.com.br/OutdoorPadrao-573","https://drive.google.com/Gabarito-573"
"574","PADRÃO","AV. BERNARDO MANUEL EM FRENTE LOJA PAHILLY - .2","AC JOSÉ WA","-3.803172","-38.552876","https://www.google.com.br/OutdoorPadrao-574","https://drive.google.com/Gabarito-574"
"576","PADRÃO","R. 15 DE NOVEMBRO. ESQ. COM AV. JOÃO PESSOA","SENTIDO AEROPORTO","-3.767633","-38.559462","https://www.google.com.br/OutdoorPadrao-576","https://drive.google.com/Gabarito-576"
"577","PADRÃO","ANEL VIARIO PROX ROTATORIA ACESSO EUSEBIO - .3","ENT. EUSEB","-3.866275","-38.475184","https://www.google.com.br/OutdoorPadrao-577","https://drive.google.com/Gabarito-577"
"578","PADRÃO","ANEL VIARIO PROX ROTATORIA ACESSO EUSEBIO - .1","ENT. EUSEB","-3.866275","-38.475184","https://www.google.com.br/OutdoorPadrao-578","https://drive.google.com/Gabarito-578"
"579","PADRÃO","ANEL VIARIO PROX ROTATORIA ACESSO EUSEBIO - .2","ENT. EUSEB","-3.866275","-38.475184","https://www.google.com.br/OutdoorPadrao-579","https://drive.google.com/Gabarito-579"
"580","PADRÃO","AV AUGUSTO DOS ANJOS PROX SHOP LIBANIZA - .1","AC. SHOP P","-3.776511","-38.575970","https://www.google.com.br/OutdoorPadrao-580","https://drive.google.com/Gabarito-580"
"581","PADRÃO","AV AUGUSTO DOS ANJOS PROX SHOP LIBANIZA - .2","AC. SHOP P","-3.776511","-38.575970","https://www.google.com.br/OutdoorPadrao-581","https://drive.google.com/Gabarito-581"
"585","PADRÃO","AV SANTOS DUMONT PROX BANCO SAFRA - .3","ACESSO A PRAIA","-3.735439","-38.500799","https://www.google.com.br/OutdoorPadrao-585","https://drive.google.com/Gabarito-585"
"590","PADRÃO","AV CHANCELER EDSON QUEIROZ  ACESSO CENTRO DE EVENTOS - .1","FACE AV. R","-3.766024","-38.491469","https://www.google.com.br/OutdoorPadrao-590","https://drive.google.com/Gabarito-590"
"591","PADRÃO","AV CHANCELER EDSON QUEIROZ  ACESSO CENTRO DE EVENTOS - .2","FACE AV RO","-3.766024","-38.491469","https://www.google.com.br/OutdoorPadrao-591","https://drive.google.com/Gabarito-591"
"592","PADRÃO","AV CHANCELER EDSON QUEIROZ AC ROGACIANO LEITE - .3","FACE W. SO","-3.766024","-38.491469","https://www.google.com.br/OutdoorPadrao-592","https://drive.google.com/Gabarito-592"
"596","PADRÃO","AV ROGACIANO LEITE PROX OFF ROAD CENTER - .1","AC. SHOPPING","-3.774001","-38.499096","https://www.google.com.br/OutdoorPadrao-596","https://drive.google.com/Gabarito-596"
"597","PADRÃO","AV ROGACIANO LEITE PROX OFF ROAD CENTER - .2","AC. SHOPPING","-3.774001","-38.499096","https://www.google.com.br/OutdoorPadrao-597","https://drive.google.com/Gabarito-597"
"598","PADRÃO","AV ROGACIANO LEITE ESQ. RUA MONS CARNEIRO - .3","AC AV. OLI","-3.773647","-38.498970","https://www.google.com.br/OutdoorPadrao-598","https://drive.google.com/Gabarito-598"
"599","PADRÃO","AV ROGACIANO LEITE ESQ. RUA MONS CARNEIRO - .4","AC. AV W.","-3.773647","-38.498970","https://www.google.com.br/OutdoorPadrao-599","https://drive.google.com/Gabarito-599"
"600","FRONT LIGHT","AV. OLIVEIRA PAIVA NA IGREJA DA GLÓRIA","CID. FUNC. / CASTELÃO","-3.7966636","-38.4990029","https://www.google.com.br/Front-600","https://drive.google.com/Gabarito-600"
"601","FRONT LIGHT","AV. 13 DE MAIO AO LADO DO VIADUTO","FATIMA / PONTES VIEIRA","-3.7535696","-38.5244839","https://www.google.com.br/Front-601","https://drive.google.com/Gabarito-601"
"602","FRONT LIGHT","AV. TREZE DE MAIO - VIADUTO PONTES VIEIRA. ACESSO UFC","ACESSO UFC","-3.7535696","-38.5244839","https://www.google.com.br/Front-602","https://drive.google.com/Gabarito-602"
"603","FRONT LIGHT","AV WASHINGTON SOARES PX UNIFOR","F.UNIFOR","-3.7742528","-38.4819349","https://www.google.com.br/Front-603","https://drive.google.com/Gabarito-603"
